PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
30325 CIGAGOLD COMERCIAL S DE RL DE CV,008 Cigarros,100014779,7.50301E+12,"ARTIGAS/CARL PURO MIX ROBUSTO SABOR  50GR					",20 México,890 Quintana Roo,M890,C89003,2172,ISLA MUJERES,0,0,0.04,3.23,3.23,DESABASTO
30325 CIGAGOLD COMERCIAL S DE RL DE CV,008 Cigarros,100080948,7.50224E+12,ARTIGAS/CARL PURO MIX PLUS ROBUSTO G 50GR,20 México,800 Yucatán,M800,C80001,2760,FLORESTA,0,0,0.11,10.99,10.99,DESABASTO
30325 CIGAGOLD COMERCIAL S DE RL DE CV,008 Cigarros,100014777,7.50301E+12,"ARTIGAS/CARL PURO MIX PLUS CORONA MA 40GR						",20 México,890 Quintana Roo,M940,C94002,3126,MAYAN MONKEY,0,0,0.11,10.35,10.35,DESABASTO
30325 CIGAGOLD COMERCIAL S DE RL DE CV,008 Cigarros,100080940,7.50301E+12,PURITO HABANA GOLD VA PZ,20 México,890 Quintana Roo,M890,C89003,3151,MAR,0,0,0.11,11.08,11.08,DESABASTO
30325 CIGAGOLD COMERCIAL S DE RL DE CV,008 Cigarros,100080938,7.50301E+12,PURO SANTA CRUZ PZ,20 México,890 Quintana Roo,M920,C92003,2715,PORTO ALTO,0,0,0.04,3.69,3.69,DESABASTO
30325 CIGAGOLD COMERCIAL S DE RL DE CV,008 Cigarros,100080940,7.50301E+12,PURITO HABANA GOLD VA PZ,20 México,890 Quintana Roo,M920,C92002,3158,CATRINA,0,0,0.21,23.83,23.83,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100021814,7.50302E+12,CAMEL SWITCH 100S 27.4 G,20 México,890 Quintana Roo,M900,C90001,2570,CASA MEXICANA,0,0,0.04,3.2,3.2,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100025152,7.50302E+12,CAMEL CAMEL TROPICAL BREW DOBLE CÁPSULA 20 PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30008,1415,Plazas Outlet,0,0,0.11,8.87,8.87,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014850,4.0331E+12,"WINSTON CLASSIC 25S		",10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M100,C10001,934,Berrendo,0,0,0.04,3.17,3.17,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100025162,7.50302E+12,WINSTON WINSTON CLASSIC 25S 25 PZ,50 Nuevo León,500 Nuevo León,M508,C50801,2578,PLAZA KOALA,0,0,0.04,2.96,2.96,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100027110,7.50227E+12,SESH MANGO 10S 2MG 1 PZ,50 Nuevo León,500 Nuevo León,M506,C50603,901,Tecmilenio,0,0,0.29,12.32,12.32,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100025162,7.50302E+12,WINSTON WINSTON CLASSIC 25S 25 PZ,20 México,200 México,M201,C20102,1571,Gonzalez De Cosio Y Torres Adalid,0,0,0.18,14.78,14.78,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100025162,7.50302E+12,WINSTON WINSTON CLASSIC 25S 25 PZ,20 México,720 Morelos,M720,C72002,2097,PALMAS NORTE,0,0,0.29,23.65,23.65,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100012957,7.50302E+12,CAMEL FILTERS 20S 1CAJE,30 Jalisco-Baja California-Sonora,300 Jalisco,M301,C30103,2670,PLAZA UNISUR,0,0,0.36,31.9,31.9,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100025162,7.50302E+12,WINSTON WINSTON CLASSIC 25S 25 PZ,20 México,200 México,M202,C20201,1151,Allende,0,0,0.21,17.73,17.73,DESABASTO
