"PROVEEDOR","CATEGORIA","ID_ARTICULO","UPC","DESC_ARTICULO","DIVISION","PLAZA","MERCADO","CAMPO","NUM_TIENDA","NOMBRE_TIENDA","INVENTARIO_UDS","INVENTARIO_PESOS","VENTA_UDS_PTD","VENTA_PESOS_PTD","VENTA_PERDIDA_PESOS","ESTATUS"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026302","7503039738553","VELO STRAWBERRY ICE 6MG TC COLOR 15 PZ","20 México","200 México","M200","C20004","578","Petrarca","0","0",".04","2.62","2.62","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100020945","75022266","LM LM 14S 14S 1 CAJETILLA","20 México","200 México","M200","C20004","806","Hegel","0","0",".04","1.66","1.66","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100019981","75074746","MARLBORO BLOSSO VISTA BLOSSOM 1 CAJETILLA","10 Coahuila-Tamaulipas","100 Tamaulipas (Reynosa)","M100","C10001","827","Las Trancas","0","0",".43","38.89","38.89","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100080028","75001315","MARLBORO CIGARR ROJO CL CS CAJET","30 Jalisco-Baja California-Sonora","300 Jalisco","M300","C30003","2911","HACIENDAS DEL TEPEYAC","0","0",".68","56.16","56.16","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100027096","7311250035586","ZYN APPLE MINT 3MG CAJETILLA PZ","20 México","200 México","M204","C20404","1859","Ticoman y Moyobamba","0","0",".14",".62",".62","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100080034","75001476","DELICADOS CIGARR OVALADOS CAJET","20 México","200 México","M205","C20502","1885","GANADEROS","0","0",".32","24.38","24.38","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100025893","7503039738447","VELO CHERRY ICE 6 MG 15 PZ","20 México","200 México","M201","C20105","699","Empresa","0","0",".11","7.85","7.85","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100021813","7503023959506","CAMEL MAX DOUBLE 1 27.4 G","20 México","200 México","M203","C20305","1378","Coacalco","0","0",".07","5.91","5.91","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100020945","75022266","LM LM 14S 14S 1 CAJETILLA","50 Nuevo León","500 Nuevo León","M501","C50104","76","Azteca","0","0",".21","9.98","9.98","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100080028","75001315","MARLBORO CIGARR ROJO CL CS CAJET","50 Nuevo León","500 Nuevo León","M508","C50801","2578","PLAZA KOALA","0","0","1.25","103.45","103.45","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100021813","7503023959506","CAMEL MAX DOUBLE 1 27.4 G","50 Nuevo León","500 Nuevo León","M500","C50007","664","Villagran","0","0",".18","14.78","14.78","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100024420","7702303121477","VELO GREEN SPEARMINT 6 MG 15 PZ","50 Nuevo León","500 Nuevo León","M508","C50803","488","Miraflores","0","0",".07","2.62","2.62","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","30 Jalisco-Baja California-Sonora","300 Jalisco","M301","C30108","464","Vallarta","0","0","1.21","102.34","102.34","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100027105","7503039738829","VELO STRAWBERRY ICE 8MG 15 PZ","20 México","890 Quintana Roo","M920","C92001","2826","MACONDO","0","0","1.39","94.21","94.21","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026690","75084646","PALL MALL AIRLINES HAWAII 20 PZ","20 México","890 Quintana Roo","M890","C89003","2567","BOULEVARD KUKULCAN","0","0",".11","9.61","9.61","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100025152","7503023959629","CAMEL CAMEL TROPICAL BREW DOBLE CÁPSULA 20 PZ","30 Jalisco-Baja California-Sonora","620 Baja California (Mexicali)","M620","C62003","1306","Garcia","0","0",".25","22.45","22.45","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100024289","7311250044373","ZYN BLACK CHERRY MINI MEDIUM CAJETILLA PZ","10 Coahuila-Tamaulipas","100 Tamaulipas (Reynosa)","M100","C10003","2786","PUERTA GRANDE III","0","0",".39","7.11","7.11","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100080928","75044916","MARLBORO KRETEK MINT","20 México","200 México","M204","C20405","1030","Lecheria 1","1","91.38","1.43","130.54","39.16","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100024997","7311250046971","ZYN SPEARMINT 3MG MEDIUM CAJETILLA PZ","50 Nuevo León","500 Nuevo León","M507","C50706","3034","ASTURIAS","0","0",".61","2.62","2.62","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100080034","75001476","DELICADOS CIGARR OVALADOS CAJET","50 Nuevo León","500 Nuevo León","M500","C50006","53","Vicente Suarez","0","0",".21","16.26","16.26","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026681","75087197","PALL MALL SUMMER SELECT RED 25 PZ","10 Coahuila-Tamaulipas","100 Tamaulipas (Reynosa)","M100","C10008","1877","Las Torres y Margarita Maza de Juarez","0","0",".14","10.85","10.85","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100027102","7503039738874","VELO PEPPERMINT STORM 10.9 MG 15 PZ","20 México","890 Quintana Roo","M890","C89002","2242","PALMARIS","0","0",".71","52.34","52.34","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100021977","75004385","FAROS FAROS FAROS 14 1 CAJETILLA","20 México","200 México","M202","C20201","761","Brasil","0","0","1.71","75.37","75.37","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","50 Nuevo León","500 Nuevo León","M500","C50003","900","Rayon Centro","0","0",".82","69.46","69.46","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100021814","7503023959490","CAMEL SWITCH 100S 27.4 G","50 Nuevo León","500 Nuevo León","M505","C50503","1887","TORRES FALCON","0","0",".04","2.96","2.96","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026681","75087197","PALL MALL SUMMER SELECT RED 25 PZ","10 Coahuila-Tamaulipas","100 Tamaulipas (Reynosa)","M100","C10001","1602","Santa Isabel y Calle Catorce","0","0",".07","5.42","5.42","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100024293","7311250044410","ZYN CITRUS MINI MEDIUM CAJETILLA PZ","20 México","200 México","M202","C20201","1176","Sto Domingo","0","0",".29","1.23","1.23","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","30 Jalisco-Baja California-Sonora","300 Jalisco","M301","C30101","475","Aut. Tonalá E.S. 7943","0","0","1","84.51","84.51","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","062 RRPs (Vapor y tabaco calentado)","100025311","75083656","TEREA TWILIGHT PEARL 20 CAJETILLA PZ","50 Nuevo León","500 Nuevo León","M502","C50208","2974","LIBRAMIENTO Y LOS PUERTOS","0","0",".04","2.62","2.62","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100027323","75086176","PALL MALL HONOLULU 14 PZ","10 Coahuila-Tamaulipas","410 Coahuila (Torreón)","M410","C41006","1709","Guatemala y Francisco Sarabia","0","0",".14","6.35","6.35","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026682","75087203","PALL MALL SUMMER SELECT GOLD 14 PZ","10 Coahuila-Tamaulipas","400 Coahuila (Saltillo)","M400","C40004","717","Pilares","0","0",".25","10.99","10.99","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026681","75087197","PALL MALL SUMMER SELECT RED 25 PZ","50 Nuevo León","500 Nuevo León","M508","C50807","1575","Hospital Regional","0","0",".04","2.52","2.52","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026688","75084608","PALL MALL AIRLINES TOKYO 20 PZ","10 Coahuila-Tamaulipas","100 Tamaulipas (Reynosa)","M100","C10009","1484","Presa La Laguna","0","0",".04","3.24","3.24","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100024295","7311250044434","ZYN ESPRESSINO MINI MEDIUM CAJETILLA PZ","20 México","890 Quintana Roo","M920","C92004","2960","LUCERNA","0","0",".04",".15",".15","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026680","75087180","PALL MALL SUMMER MANILA 20 PZ","20 México","200 México","M204","C20402","2855","BONA","0","0",".36","30.17","30.17","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026682","75087203","PALL MALL SUMMER SELECT GOLD 14 PZ","10 Coahuila-Tamaulipas","110 Tamaulipas (Matamoros)","M110","C11004","2331","TERCERA Y SOLERNAU","0","0",".14","6.75","6.75","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100025152","7503023959629","CAMEL CAMEL TROPICAL BREW DOBLE CÁPSULA 20 PZ","50 Nuevo León","500 Nuevo León","M501","C50102","290","La Roca","0","0",".11","8.87","8.87","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100021814","7503023959490","CAMEL SWITCH 100S 27.4 G","20 México","200 México","M200","C20006","1616","Nuevo León esq Parrás","0","0",".36","29.56","29.56","DESABASTO"
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.","008 Cigarros","100026680","75087180","PALL MALL SUMMER MANILA 20 PZ","50 Nuevo León","500 Nuevo León","M508","C50804","433","Camino Al Mezquital","0","0",".21","18.1","18.1","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100020945","75022266","LM LM 14S 14S 1 CAJETILLA","20 México","200 México","M201","C20104","1681","Pennsylvania Esquina San Antonio","0","0",".07","3.33","3.33","DESABASTO"
