PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100080952,75046545,LUCKY STRIKE AMARILLOS 25S,20 Mexico,890 Quintana Roo,M890,C89005,2580,QUINTA YAXCHE,0,0,1.11,89.72,89.72,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M203,C20305,2511,SAN LORENZO TEPEPAN,0,0,0.21,14.41,14.41,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100023424,75079895,LUCKY STRIKE ORIGINS BRIGHT 20 PZ,20 Mexico,890 Quintana Roo,M890,C89003,2778,SIEMPRE PLAYA,0,0,0.07,5.73,5.73,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025442,75083939,PALL MALL ALASKA STRESS RELIEVER 20 PZ,20 Mexico,890 Quintana Roo,M890,C89006,2274,CATALUNA II,0,0,2.18,146.49,146.49,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080897,42138037,WINSTON CIGARR CLASSIC 20S CAJET,20 Mexico,200 Mexico,M205,C20503,1195,Tlalpan Casi Esquina Xola,0,0,0.18,10.16,10.16,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025448,75083922,PALL MALL ALASKA STRESS RELIEVER 15 PZ,20 Mexico,720 Morelos,M720,C72002,2219,MESALINA,0,0,0.29,14.78,14.78,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025446,75083960,PALL MALL LONDON STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M204,C20406,469,Hda De Las Palmas,0,0,0.14,9.61,9.61,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025443,75083946,PALL MALL MYKONOS STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M203,C20307,1905,Salida a Cuernavaca,0,0,0.07,4.8,4.8,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100015341,75070090,PALL MALL MIX PACK 20,20 Mexico,200 Mexico,M203,C20303,2518,RIO MAGDALENA,0,0,0.07,4.8,4.8,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100024398,7.31125E+12,ZYN CITRUS MINI STRONG UNIDAD PZ,20 Mexico,200 Mexico,M205,C20501,1818,Mtias Romero,0,0,0.07,4,4,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100023426,75079956,LUCKY STRIKE ORIGINAL RED 20 PZ,20 Mexico,200 Mexico,M201,C20103,164,Frontera,0,0,0.07,4.37,4.37,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025442,75083939,PALL MALL ALASKA STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M204,C20409,1595,Misterios,0,0,0.07,4.8,4.8,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024885,75082291,PALL MALL 125 A?OS CASE MYKONOS 20 PZ,20 Mexico,700 Puebla,M700,C70001,2637,PASEO DESTINO,0,0,0.14,9.61,9.61,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100020969,75076740,MONTANA CLASSI 20S 1 CAJETILLA,20 Mexico,200 Mexico,M200,C20001,1743,Vasco de Quiroga esq Mario Pani,0,0,3.46,149.32,149.32,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100022233,75076412,PALL MALL LONDON 20S 1 CAJETILLA,20 Mexico,720 Morelos,M720,C72001,2873,SANTA FE LIFESTYLE,0,0,0.25,16.81,16.81,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025443,75083946,PALL MALL MYKONOS STRESS RELIEVER 20 PZ,20 Mexico,890 Quintana Roo,M890,C89006,2749,PASEO DEL MAYAB,0,0,0.18,12.01,12.01,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M202,C20202,611,Balderas,0,0,0.07,4.8,4.8,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025444,75083953,PALL MALL TOKYO STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M203,C20303,1961,CENTRO SAN ANGEL,0,0,0.18,12.01,12.01,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025442,75083939,PALL MALL ALASKA STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M203,C20305,1378,Coacalco,0,0,0.11,7.2,7.2,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025444,75083953,PALL MALL TOKYO STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M203,C20304,1666,Insurgentes y Mayas,0,0,0.07,4.8,4.8,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025283,75083885,PALL MALL HAWAII SUNLIGHT STRESS RELIEVER 15 PZ,20 Mexico,800 Yucatan,M800,C80001,2161,KANASIN,0,0,0.11,5.54,5.54,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025053,75081942,LUCKIES 20S,20 Mexico,200 Mexico,M205,C20505,390,Henriquez Ure?a,0,0,0.04,2.19,2.19,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025446,75083960,PALL MALL LONDON STRESS RELIEVER 20 PZ,20 Mexico,800 Yucatan,M800,C80001,2945,CANICAB,0,0,0.18,12.01,12.01,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025446,75083960,PALL MALL LONDON STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M204,C20402,18,Bellavista,0,0,0.04,2.4,2.4,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025442,75083939,PALL MALL ALASKA STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M200,C20005,2139,ALVARO OBREGON II,0,0,0.29,19.21,19.21,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100024997,7.31125E+12,ZYN SPEARMINT 3MG MEDIUM CAJETILLA PZ,20 Mexico,200 Mexico,M204,C20402,2328,DR JIMENEZ CANTU,0,0,0.25,2.59,2.59,DESABASTO
"2216 NUEVA DISTABAC, S.A. DE C.V.",008 Cigarros,100024599,7.50161E+12,PURO MATACAN ROBUSTO IND,20 Mexico,200 Mexico,M201,C20105,699,Empresa,0,0,0.14,10.47,10.47,DESABASTO
