PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100017982,75071776,PALL MALL CLASSICS 20,10 Coahuila-Tamaulipas,410 Coahuila (Torreón),M410,C41006,1923,CALZADA MEXICO Y EMILIO CARRANZA,0,0,1.21,61.76,61.76,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100026387,75080501,PALL MALL ARUBA 20 PZ,10 Coahuila-Tamaulipas,110 Tamaulipas (Matamoros),M110,C11006,1627,Montebelllo,0,0,0.36,19.18,19.18,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000079,75079017,PALL MALL BORA BORA SUNBREAK 20 PZ,30 Jalisco-Baja California-Sonora,600 Baja California (Tijuana),M600,C60005,1817,Niños Heroes esq 2da,0,0,0.82,61.61,61.61,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100020969,75076740,MONTANA CLASSI 20S 1 CAJETILLA,20 México,200 México,M202,C20205,1819,20 de Noviembre esq Regina,0,0,1.79,83.13,83.13,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024417,7.7023E+12,VELO STRAWBERRY ICE 4 MG 15 PZ,20 México,200 México,M202,C20205,1831,16 De Septiembre esq Isabel la Catolica,0,0,0.07,4,4,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022971,7.50302E+12,CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR,30 Jalisco-Baja California-Sonora,650 Sonora (Hermosillo),M650,C65002,1854,Ignacio Soto II,0,0,0.61,40.83,40.83,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022995,7.50302E+12,WINSTON WINSTON RED 25S 1 PZ,30 Jalisco-Baja California-Sonora,650 Sonora (Hermosillo),M650,C65002,1854,Ignacio Soto II,0,0,0.14,7.51,7.51,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100021950,75004392,FAROS 20 1 CAJETILLA,10 Coahuila-Tamaulipas,110 Tamaulipas (Matamoros),M110,C11003,1866,MARGARITAS Y ALVARO OBREGON,0,0,0.39,19.64,19.64,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000079,75079017,PALL MALL BORA BORA SUNBREAK 20 PZ,10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M100,C10008,1658,Rincon De Las Flores,0,0,1.14,84.66,84.66,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014850,4.0331E+12,"WINSTON CLASSIC 25S		",10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M100,C10008,1658,Rincon De Las Flores,0,0,0.29,20.64,20.64,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014678,7.50302E+12,"CAMEL NATURAL FLAVOR 20						",50 Nuevo León,500 Nuevo León,M503,C50307,1679,Parque Stiva,0,0,0.14,8.74,8.74,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100012153,75063504,LUCKY STRIKE 20S ME TDC 1PZ,50 Nuevo León,500 Nuevo León,M503,C50307,1679,Parque Stiva,0,0,0.36,26.17,26.17,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,101000062,75006372,MARLBORO FOREST FUSION CAJETILLA PZ,20 México,200 México,M203,C20304,1703,LUIS CABRERA ESQ. NARANJOS,0,0,0.46,32.02,32.02,DESABASTO
