PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100012957,7.50302E+12,CAMEL FILTERS 20S 1CAJE,50 Nuevo León,500 Nuevo León,M505,C50502,939,Mutualismo,0,0,0.04,2.68,2.68,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014240,7.50302E+12,CAMEL CAMEL  FILTERS 14S 1CAJE,10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M100,C10005,246,Engrei,0,0,0.14,10.32,10.32,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014678,7.50302E+12,"CAMEL NATURAL FLAVOR 20						",30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30004,458,San Jorge,0,0,0.36,21.86,21.86,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014678,7.50302E+12,"CAMEL NATURAL FLAVOR 20						",30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30002,1157,Bizet Y Sanzio,0,0,0.32,19.67,19.67,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014678,7.50302E+12,"CAMEL NATURAL FLAVOR 20						",50 Nuevo León,500 Nuevo León,M503,C50307,1679,Parque Stiva,0,0,0.07,4.37,4.37,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014678,7.50302E+12,"CAMEL NATURAL FLAVOR 20						",20 México,200 México,M201,C20102,2514,KANSAS,0,0,0.14,8.74,8.74,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014678,7.50302E+12,"CAMEL NATURAL FLAVOR 20						",10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M101,C10108,2767,MAQUILAS I,0,0,0.07,4.7,4.7,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014678,7.50302E+12,"CAMEL NATURAL FLAVOR 20						",30 Jalisco-Baja California-Sonora,300 Jalisco,M301,C30104,2783,PLANETARIO,0,0,0.14,8.74,8.74,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014850,4.0331E+12,"WINSTON CLASSIC 25S		",10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M101,C10107,123,20 De Noviembre,0,0,0.71,51.59,51.59,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014850,4.0331E+12,"WINSTON CLASSIC 25S		",10 Coahuila-Tamaulipas,110 Tamaulipas (Matamoros),M110,C11008,784,Guanajuato,0,0,0.18,14.09,14.09,DESABASTO
