PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014850,4.0331E+12,"WINSTON CLASSIC 25S		",10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M101,C10102,1483,Rio Purificacion Y Av Praxedis,0,0,0.14,10.32,10.32,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022995,7.50302E+12,WINSTON WINSTON RED 25S 1 PZ,50 Nuevo León,500 Nuevo León,M502,C50207,426,Centro América,0,0,0.11,5.63,5.63,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022995,7.50302E+12,WINSTON WINSTON RED 25S 1 PZ,50 Nuevo León,500 Nuevo León,M507,C50708,2535,Cerradas de Valle Alto,0,0,0.04,1.88,1.88,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014850,4.0331E+12,"WINSTON CLASSIC 25S		",10 Coahuila-Tamaulipas,110 Tamaulipas (Matamoros),M110,C11002,1398,Carr. A La Playa Lauro Villar,0,0,0.29,20.64,20.64,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022996,7.50302E+12,WINSTON WINSTON RED 20S 1 PZ,20 México,700 Puebla,M700,C70001,2113,UDLA 14 OTE.,0,0,0.32,14.96,14.96,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022995,7.50302E+12,WINSTON WINSTON RED 25S 1 PZ,50 Nuevo León,500 Nuevo León,M502,C50206,834,Rodhesia,0,0,0.21,11.27,11.27,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100012957,7.50302E+12,CAMEL FILTERS 20S 1CAJE,50 Nuevo León,500 Nuevo León,M505,C50502,939,Mutualismo,0,0,0.07,5.36,5.36,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022995,7.50302E+12,WINSTON WINSTON RED 25S 1 PZ,50 Nuevo León,500 Nuevo León,M505,C50507,200,San Jemo,0,0,0.04,1.88,1.88,DESABASTO
21864 ARTICUN DISTRIBUIDORA S.A. DE C.V.,008 Cigarros,100014778,7.50224E+12,"ARTIGAS/CARL PURO MIX PLUS ROBUSTO M 50GR					",20 México,890 Quintana Roo,M890,C89002,2255,ACANCEH,0,0,0.04,3.73,3.73,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100080957,75047337,BENSON&HEDGES PEARL CAPS CAJETILLA,50 Nuevo León,500 Nuevo León,M501,C50102,74,Espiritu Santo,0,0,0.29,22.63,22.63,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100019981,75074746,MARLBORO BLOSSO VISTA BLOSSOM 1 CAJETILLA,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30004,458,San Jorge,0,0,0.68,47.78,47.78,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,101000062,75006372,MARLBORO FOREST FUSION CAJETILLA PZ,20 México,200 México,M205,C20505,931,Carrillo Puerto,0,0,0.86,61.58,61.58,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100013136,75066345,MARLBORO FUSION SUMMER 100BOX 1CAJ,10 Coahuila-Tamaulipas,110 Tamaulipas (Matamoros),M110,C11008,926,Nayarit,1,88.89,1.71,130.69,41.8,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100019981,75074746,MARLBORO BLOSSO VISTA BLOSSOM 1 CAJETILLA,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30008,378,Tlajomulco E.S. 6237,0,0,0.68,46.8,46.8,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100025451,7.50303E+12,MARLBORO VISTA FOREST FUSION 100 BOX 20 (LATA CENICERO '25) CAJETILLA PZ,20 México,200 México,M204,C20406,1092,El Olivo,0,0,0.07,4.93,4.93,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100025332,75032807,MARLBORO URBAN SHUFFLE 100 BOX 20 CAJETILLA PZ,50 Nuevo León,500 Nuevo León,M503,C50301,2075,Villas  Mirasur,0,0,0.32,22.72,22.72,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024420,7.7023E+12,VELO GREEN SPEARMINT 6 MG 15 PZ,20 México,890 Quintana Roo,M920,C92004,2549,PASEO XAMAN HA,0,0,0.36,22.48,22.48,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025845,75084127,PALL MALL HAWAII ROADTRIP CAN 20 PZ,10 Coahuila-Tamaulipas,110 Tamaulipas (Matamoros),M110,C11004,1534,Morelos Y Octava,0,0,0.11,7.94,7.94,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024420,7.7023E+12,VELO GREEN SPEARMINT 6 MG 15 PZ,50 Nuevo León,500 Nuevo León,M501,C50103,2418,CADEREYTA-ALLENDE,0,0,0.18,10.01,10.01,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025843,75084165,PALL MALL TOKYO ROADTRIP CAN 20 PZ,20 México,200 México,M200,C20006,1242,Angeles México,0,0,0.25,17.24,17.24,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025292,7.50304E+12,VELO TROPICAL MANGO 8 MG 20 PZ,20 México,700 Puebla,M700,C70002,2791,CAMINO AL BATAN,0,0,0.39,28.79,28.79,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025296,7.50304E+12,VELO STRAWBERRY ICE 8 MG 20 PZ,50 Nuevo León,500 Nuevo León,M503,C50303,3109,CALZADA DEL SOL,0,0,0.07,5.23,5.23,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025894,7.50304E+12,VELO PURPLE GRAPE 6MG 15 PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30007,1833,Parques del Bosque,0,0,0.07,4,4,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025845,75084127,PALL MALL HAWAII ROADTRIP CAN 20 PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30001,364,Rinconada Guadalupe,0,0,0.04,2.46,2.46,DESABASTO
