PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100023686,75006938,TEREA SIENNA CAJETILLA PZ,20 Mexico,200 Mexico,M201,C20102,2514,KANSAS,1,73.28,1.25,91.6,18.32,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100024246,75007454,TEREA BLACK PURPLE CAJETILLA PZ,50 Nuevo Leon,500 Nuevo Leon,M507,C50704,1901,FUNDADORES Y ADOLFO LAUBNER,0,0,0.71,52.34,52.34,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100024246,75007454,TEREA BLACK PURPLE CAJETILLA PZ,20 Mexico,200 Mexico,M205,C20507,1046,Santa Ana,0,0,0.43,31.4,31.4,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100024282,7.6221E+12, IQOS ILUMA ONE AZURE BLUE CAJETILLA PZ,50 Nuevo Leon,500 Nuevo Leon,M503,C50309,1940,Adolfo Lopez Mateos y Chayote,0,0,0.04,13.82,13.82,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100023681,75006389,TEREA BLUE CAJETILLA PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M301,C30102,574,Expropiacion,0,0,0.18,13.09,13.09,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100023681,75006389,TEREA BLUE CAJETILLA PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30003,3080,CENTRALIA,0,0,0.61,44.49,44.49,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100023685,75007461,TEREA RUSSET CAJETILLA PZ,10 Coahuila-Tamaulipas,110 Tamaulipas (Matamoros),M110,C11004,1534,Morelos Y Octava,0,0,0.14,11.24,11.24,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100024244,75006358,TEREA SUN PEARL CAJETILLA PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30003,321,Mariano Otero,0,0,0.32,23.55,23.55,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100023681,75006389,TEREA BLUE CAJETILLA PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30008,2223,PLAZA ENCINARES,0,0,1.79,130.85,130.85,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100023682,75006396,TEREA BRONZE CAJETILLA PZ,20 Mexico,200 Mexico,M204,C20407,2211,Metro Popotla,0,0,0.79,57.57,57.57,DESABASTO
